Model,Scenario,Region,Variable,Unit,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
0,4.0,PHL,Price|Carbon|Supply,US$2010/t CO2,0.0,,,,,15.6864,,,,,115.4154,,,,,235.1975,,,,,374.5993,,,,,611.8922,,,,,1062.4573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,5.0,MYS,Price|Carbon,US$2010/t CO2,0.0,1.66146,3.32292,4.98438,6.64584,8.3073,21.32396,34.34062,47.35728,60.37394,73.3906,87.99226,102.59392,117.19558,131.79724,146.3989,159.27278,172.14666,185.02054,197.89442,210.7683,223.67502,236.58174,249.48846,262.39518,275.3019,291.22108,307.14026,323.05944,338.97862,354.8978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,5.0,MYS,Price|Carbon|Demand|Industry,US$2010/t CO2,0.0,,,,,8.3073,,,,,73.3906,,,,,146.3989,,,,,210.7683,,,,,275.3019,,,,,354.8978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,5.0,MYS,Price|Carbon|Demand|Residential and Commercial,US$2010/t CO2,0.0,,,,,8.3073,,,,,73.3906,,,,,146.3989,,,,,210.7683,,,,,275.3019,,,,,354.8978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,5.0,MYS,Price|Carbon|Demand|Transportation,US$2010/t CO2,0.0,,,,,8.3073,,,,,73.3906,,,,,146.3989,,,,,210.7683,,,,,275.3019,,,,,354.8978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,5.0,MYS,Price|Carbon|Supply,US$2010/t CO2,0.0,,,,,8.3073,,,,,73.3906,,,,,146.3989,,,,,210.7683,,,,,275.3019,,,,,354.8978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,5.0,PHL,Price|Carbon,US$2010/t CO2,0.0,1.66146,3.32292,4.98438,6.64584,8.3073,21.32396,34.34062,47.35728,60.37394,73.3906,87.99226,102.59392,117.19558,131.79724,146.3989,159.27278,172.14666,185.02054,197.89442,210.7683,223.67502,236.58174,249.48846,262.39518,275.3019,291.22108,307.14026,323.05944,338.97862,354.8978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,5.0,PHL,Price|Carbon|Demand|Industry,US$2010/t CO2,0.0,,,,,8.3073,,,,,73.3906,,,,,146.3989,,,,,210.7683,,,,,275.3019,,,,,354.8978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,5.0,PHL,Price|Carbon|Demand|Residential and Commercial,US$2010/t CO2,0.0,,,,,8.3073,,,,,73.3906,,,,,146.3989,,,,,210.7683,,,,,275.3019,,,,,354.8978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,5.0,PHL,Price|Carbon|Demand|Transportation,US$2010/t CO2,0.0,,,,,8.3073,,,,,73.3906,,,,,146.3989,,,,,210.7683,,,,,275.3019,,,,,354.8978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,5.0,PHL,Price|Carbon|Supply,US$2010/t CO2,0.0,,,,,8.3073,,,,,73.3906,,,,,146.3989,,,,,210.7683,,,,,275.3019,,,,,354.8978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,6.0,MYS,Price|Carbon,US$2010/t CO2,1.4667,4.48122,7.49574,10.51026,13.52478,16.5393,34.81272,53.08614,71.35956,89.63298,107.9064,129.9623,152.0182,174.0741,196.13,218.1859,242.4056,266.6253,290.845,315.0647,339.2844,384.2707,429.257,474.2433,519.2296,564.2159,656.912,749.6081,842.3042,935.0003,1027.6964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,6.0,MYS,Price|Carbon|Demand|Industry,US$2010/t CO2,1.4667,,,,,16.5393,,,,,107.9064,,,,,218.1859,,,,,339.2844,,,,,564.2159,,,,,1027.6964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,6.0,MYS,Price|Carbon|Demand|Residential and Commercial,US$2010/t CO2,1.4667,,,,,16.5393,,,,,107.9064,,,,,218.1859,,,,,339.2844,,,,,564.2159,,,,,1027.6964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,6.0,MYS,Price|Carbon|Demand|Transportation,US$2010/t CO2,1.4667,,,,,16.5393,,,,,107.9064,,,,,218.1859,,,,,339.2844,,,,,564.2159,,,,,1027.6964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,6.0,MYS,Price|Carbon|Supply,US$2010/t CO2,1.4667,,,,,16.5393,,,,,107.9064,,,,,218.1859,,,,,339.2844,,,,,564.2159,,,,,1027.6964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,6.0,PHL,Price|Carbon,US$2010/t CO2,1.4667,4.48122,7.49574,10.51026,13.52478,16.5393,34.81272,53.08614,71.35956,89.63298,107.9064,129.9623,152.0182,174.0741,196.13,218.1859,242.4056,266.6253,290.845,315.0647,339.2844,384.2707,429.257,474.2433,519.2296,564.2159,656.912,749.6081,842.3042,935.0003,1027.6964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,6.0,PHL,Price|Carbon|Demand|Industry,US$2010/t CO2,1.4667,,,,,16.5393,,,,,107.9064,,,,,218.1859,,,,,339.2844,,,,,564.2159,,,,,1027.6964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,6.0,PHL,Price|Carbon|Demand|Residential and Commercial,US$2010/t CO2,1.4667,,,,,16.5393,,,,,107.9064,,,,,218.1859,,,,,339.2844,,,,,564.2159,,,,,1027.6964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,6.0,PHL,Price|Carbon|Demand|Transportation,US$2010/t CO2,1.4667,,,,,16.5393,,,,,107.9064,,,,,218.1859,,,,,339.2844,,,,,564.2159,,,,,1027.6964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,6.0,PHL,Price|Carbon|Supply,US$2010/t CO2,1.4667,,,,,16.5393,,,,,107.9064,,,,,218.1859,,,,,339.2844,,,,,564.2159,,,,,1027.6964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
